category,fcstDate,fcstTime,fcstValue
TMP,20231218,0000,-10
VEC,20231218,0000,360
WSD,20231218,0000,1
PCP,20231218,0000,강수없음
REH,20231218,0000,65
SNO,20231218,0000,적설없음
TMP,20231218,0100,-10
VEC,20231218,0100,309
WSD,20231218,0100,0.6
PCP,20231218,0100,강수없음
REH,20231218,0100,65
SNO,20231218,0100,적설없음
TMP,20231218,0200,-11
VEC,20231218,0200,293
WSD,20231218,0200,0.8
PCP,20231218,0200,강수없음
REH,20231218,0200,60
SNO,20231218,0200,적설없음
TMP,20231218,0300,-11
VEC,20231218,0300,310
WSD,20231218,0300,0.8
PCP,20231218,0300,강수없음
REH,20231218,0300,60
SNO,20231218,0300,적설없음
TMP,20231218,0400,-11
VEC,20231218,0400,349
WSD,20231218,0400,1
PCP,20231218,0400,강수없음
REH,20231218,0400,60
SNO,20231218,0400,적설없음
TMP,20231218,0500,-12
VEC,20231218,0500,360
WSD,20231218,0500,1.1
PCP,20231218,0500,강수없음
REH,20231218,0500,60
SNO,20231218,0500,적설없음
TMP,20231218,0600,-12
VEC,20231218,0600,10
WSD,20231218,0600,1.1
PCP,20231218,0600,강수없음
REH,20231218,0600,60
SNO,20231218,0600,적설없음
TMP,20231218,0700,-12
VEC,20231218,0700,7
WSD,20231218,0700,0.8
PCP,20231218,0700,강수없음
REH,20231218,0700,60
SNO,20231218,0700,적설없음
TMP,20231218,0800,-11
VEC,20231218,0800,4
WSD,20231218,0800,1.4
PCP,20231218,0800,강수없음
REH,20231218,0800,55
SNO,20231218,0800,적설없음
TMP,20231218,0900,-10
VEC,20231218,0900,15
WSD,20231218,0900,2.3
PCP,20231218,0900,강수없음
REH,20231218,0900,50
SNO,20231218,0900,적설없음
TMP,20231218,1000,-8
VEC,20231218,1000,11
WSD,20231218,1000,2.1
PCP,20231218,1000,강수없음
REH,20231218,1000,40
SNO,20231218,1000,적설없음
TMP,20231218,1100,-6
VEC,20231218,1100,5
WSD,20231218,1100,2.2
PCP,20231218,1100,강수없음
REH,20231218,1100,30
SNO,20231218,1100,적설없음
TMP,20231218,1200,-5
VEC,20231218,1200,345
WSD,20231218,1200,2.3
PCP,20231218,1200,강수없음
REH,20231218,1200,30
SNO,20231218,1200,적설없음
TMP,20231218,1300,-4
VEC,20231218,1300,324
WSD,20231218,1300,2.2
PCP,20231218,1300,강수없음
REH,20231218,1300,25
SNO,20231218,1300,적설없음
TMP,20231218,1400,-3
VEC,20231218,1400,311
WSD,20231218,1400,2
PCP,20231218,1400,강수없음
REH,20231218,1400,25
SNO,20231218,1400,적설없음
TMP,20231218,1500,-3
VEC,20231218,1500,310
WSD,20231218,1500,1.7
PCP,20231218,1500,강수없음
REH,20231218,1500,25
SNO,20231218,1500,적설없음
TMP,20231218,1600,-3
VEC,20231218,1600,317
WSD,20231218,1600,1.6
PCP,20231218,1600,강수없음
REH,20231218,1600,20
SNO,20231218,1600,적설없음
TMP,20231218,1700,-4
VEC,20231218,1700,320
WSD,20231218,1700,0.8
PCP,20231218,1700,강수없음
REH,20231218,1700,35
SNO,20231218,1700,적설없음
TMP,20231218,1800,-5
VEC,20231218,1800,311
WSD,20231218,1800,1.1
PCP,20231218,1800,강수없음
REH,20231218,1800,40
SNO,20231218,1800,적설없음
TMP,20231218,1900,-5
VEC,20231218,1900,323
WSD,20231218,1900,1
PCP,20231218,1900,강수없음
REH,20231218,1900,40
SNO,20231218,1900,적설없음
TMP,20231218,2000,-5
VEC,20231218,2000,354
WSD,20231218,2000,1
PCP,20231218,2000,강수없음
REH,20231218,2000,50
SNO,20231218,2000,적설없음
TMP,20231218,2100,-6
VEC,20231218,2100,353
WSD,20231218,2100,0.8
PCP,20231218,2100,강수없음
REH,20231218,2100,50
