fcstDate,fcstTime,PCP,REH,SNO,TMP,VEC,WSD
20231218,0,0.5,65.0,0.5,-10.0,360.0,1.0
20231218,100,0.5,65.0,0.5,-10.0,309.0,0.6
20231218,200,0.5,60.0,0.5,-11.0,293.0,0.8
20231218,300,0.5,60.0,0.5,-11.0,310.0,0.8
20231218,400,0.5,60.0,0.5,-11.0,349.0,1.0
20231218,500,0.5,60.0,0.5,-12.0,360.0,1.1
20231218,600,0.5,60.0,0.5,-12.0,10.0,1.1
20231218,700,0.5,60.0,0.5,-12.0,7.0,0.8
20231218,800,0.5,55.0,0.5,-11.0,4.0,1.4
20231218,900,0.5,50.0,0.5,-10.0,15.0,2.3
20231218,1000,0.5,40.0,0.5,-8.0,11.0,2.1
20231218,1100,0.5,30.0,0.5,-6.0,5.0,2.2
20231218,1200,0.5,30.0,0.5,-5.0,345.0,2.3
20231218,1300,0.5,25.0,0.5,-4.0,324.0,2.2
20231218,1400,0.5,25.0,0.5,-3.0,311.0,2.0
20231218,1500,0.5,25.0,0.5,-3.0,310.0,1.7
20231218,1600,0.5,20.0,0.5,-3.0,317.0,1.6
20231218,1700,0.5,35.0,0.5,-4.0,320.0,0.8
20231218,1800,0.5,40.0,0.5,-5.0,311.0,1.1
20231218,1900,0.5,40.0,0.5,-5.0,323.0,1.0
20231218,2000,0.5,50.0,0.5,-5.0,354.0,1.0
20231218,2100,0.5,50.0,0.5,-6.0,353.0,0.8
20231218,2200,0.5,50.0,0.5,-6.0,353.0,0.8
20231218,2300,0.5,50.0,0.5,-6.0,21.0,0.9
20231219,0,0.5,50.0,0.5,-7.0,23.0,0.8
20231219,100,0.5,50.0,0.5,-7.0,34.0,0.7
20231219,200,0.5,60.0,0.5,-7.0,45.0,0.7
20231219,300,0.5,60.0,0.5,-8.0,45.0,0.8
20231219,400,0.5,60.0,0.5,-8.0,45.0,0.8
20231219,500,0.5,65.0,0.5,-8.0,45.0,0.7
20231219,600,0.5,70.0,0.5,-9.0,49.0,0.9
20231219,700,0.5,70.0,0.5,-9.0,61.0,1.0
20231219,800,0.5,60.0,0.5,-9.0,67.0,1.3
20231219,900,0.5,50.0,0.5,-7.0,66.0,1.0
20231219,1000,0.5,40.0,0.5,-5.0,41.0,1.1
20231219,1100,0.5,30.0,0.5,-2.0,29.0,1.3
20231219,1200,0.5,30.0,0.5,-1.0,21.0,1.4
20231219,1300,0.5,30.0,0.5,1.0,8.0,1.5
20231219,1400,0.5,25.0,0.5,2.0,360.0,1.4
20231219,1500,0.5,30.0,0.5,2.0,355.0,1.1
20231219,1600,0.5,35.0,0.5,2.0,352.0,0.7
20231219,1700,0.5,55.0,0.5,0.0,353.0,0.8
20231219,1800,0.5,60.0,0.5,-1.0,8.0,0.7
20231219,1900,0.5,60.0,0.5,-2.0,23.0,0.8
20231219,2000,0.5,65.0,0.5,-1.0,84.0,0.9
20231219,2100,0.5,70.0,0.5,-2.0,135.0,0.8
20231219,2200,0.5,75.0,,-3.0,193.0,0.9
20231219,2300,,80.0,,-2.0,250.0,1.5
20231220,0,0.5,80.0,0.5,-2.0,270.0,1.4
20231220,100,0.5,80.0,,-2.0,270.0,1.4
20231220,200,0.5,85.0,,-2.0,279.0,1.2
20231220,300,0.5,85.0,0.5,-3.0,309.0,1.9
20231220,400,0.5,80.0,,-4.0,318.0,2.5
20231220,500,0.5,80.0,,-5.0,324.0,2.4
20231220,600,0.5,80.0,,-6.0,319.0,2.0
20231220,700,0.5,80.0,,-7.0,317.0,2.1
20231220,800,0.5,75.0,,-7.0,319.0,2.1
20231220,900,0.5,70.0,0.5,-6.0,319.0,3.5
20231220,1000,0.5,60.0,0.5,-6.0,317.0,4.1
20231220,1100,0.5,60.0,0.5,-5.0,310.0,4.5
20231220,1200,0.5,55.0,0.5,-5.0,305.0,4.7
20231220,1300,0.5,50.0,0.5,-5.0,304.0,5.0
20231220,1400,0.5,55.0,0.5,-5.0,304.0,5.0
20231220,1500,0.5,55.0,0.5,-5.0,303.0,5.0
20231220,1600,0.5,60.0,0.5,-6.0,304.0,4.7
20231220,1700,0.5,65.0,0.5,-7.0,308.0,3.9
20231220,1800,0.5,70.0,0.5,-7.0,315.0,3.3
20231220,1900,0.5,70.0,0.5,-8.0,323.0,2.5
20231220,2000,0.5,75.0,0.5,-9.0,331.0,2.5
20231220,2100,0.5,75.0,0.5,-9.0,337.0,2.6
20231220,2200,0.5,75.0,0.5,-10.0,340.0,2.7
20231220,2300,0.5,75.0,0.5,-10.0,344.0,2.5
20231221,0,0.5,75.0,0.5,-11.0,345.0,2.4
