time,round,amount
2022-06-19 01:00:00+09:00,1,0.0
2022-06-19 02:00:00+09:00,1,0.0
2022-06-19 03:00:00+09:00,1,0.0
2022-06-19 04:00:00+09:00,1,0.0
2022-06-19 05:00:00+09:00,1,0.0
2022-06-19 06:00:00+09:00,1,0.0
2022-06-19 07:00:00+09:00,1,2.53696
2022-06-19 08:00:00+09:00,1,12.9959
2022-06-19 09:00:00+09:00,1,22.8779
2022-06-19 10:00:00+09:00,1,23.6411
2022-06-19 11:00:00+09:00,1,45.8314
2022-06-19 12:00:00+09:00,1,54.7892
2022-06-19 13:00:00+09:00,1,60.0244
2022-06-19 14:00:00+09:00,1,48.5661
2022-06-19 15:00:00+09:00,1,48.7599
2022-06-19 16:00:00+09:00,1,48.8919
2022-06-19 17:00:00+09:00,1,38.1552
2022-06-19 18:00:00+09:00,1,21.2561
2022-06-19 19:00:00+09:00,1,8.17307
2022-06-19 20:00:00+09:00,1,0.0
2022-06-19 21:00:00+09:00,1,0.0
2022-06-19 22:00:00+09:00,1,0.0
2022-06-19 23:00:00+09:00,1,0.0
2022-06-20 00:00:00+09:00,1,0.0
2022-06-20 01:00:00+09:00,1,0.0
2022-06-20 02:00:00+09:00,1,0.0
2022-06-20 03:00:00+09:00,1,0.0
2022-06-20 04:00:00+09:00,1,0.0
2022-06-20 05:00:00+09:00,1,0.0
2022-06-20 06:00:00+09:00,1,0.0
2022-06-20 07:00:00+09:00,1,8.55388
2022-06-20 08:00:00+09:00,1,12.0985
2022-06-20 09:00:00+09:00,1,23.3156
2022-06-20 10:00:00+09:00,1,38.2862
2022-06-20 11:00:00+09:00,1,45.7791
2022-06-20 12:00:00+09:00,1,46.8864
2022-06-20 13:00:00+09:00,1,53.4766
2022-06-20 14:00:00+09:00,1,54.3435
2022-06-20 15:00:00+09:00,1,52.5414
2022-06-20 16:00:00+09:00,1,44.9031
2022-06-20 17:00:00+09:00,1,29.9305
2022-06-20 18:00:00+09:00,1,14.8392
2022-06-20 19:00:00+09:00,1,8.65134
2022-06-20 20:00:00+09:00,1,0.0
2022-06-20 21:00:00+09:00,1,0.0
2022-06-20 22:00:00+09:00,1,0.0
2022-06-20 23:00:00+09:00,1,0.0
2022-06-21 00:00:00+09:00,1,0.0
2022-06-21 01:00:00+09:00,1,0.0
2022-06-21 02:00:00+09:00,1,0.0
2022-06-21 03:00:00+09:00,1,0.0
2022-06-21 04:00:00+09:00,1,0.0
2022-06-21 05:00:00+09:00,1,0.0
2022-06-21 06:00:00+09:00,1,0.0
2022-06-21 07:00:00+09:00,1,4.7641
2022-06-21 08:00:00+09:00,1,14.3014
2022-06-21 09:00:00+09:00,1,24.6427
2022-06-21 10:00:00+09:00,1,25.5775
2022-06-21 11:00:00+09:00,1,52.0271
2022-06-21 12:00:00+09:00,1,46.9425
2022-06-21 13:00:00+09:00,1,51.5066
2022-06-21 14:00:00+09:00,1,46.2097
2022-06-21 15:00:00+09:00,1,45.4189
2022-06-21 16:00:00+09:00,1,49.5949
2022-06-21 17:00:00+09:00,1,34.9023
2022-06-21 18:00:00+09:00,1,21.0218
2022-06-21 19:00:00+09:00,1,9.06056
2022-06-21 20:00:00+09:00,1,0.0
2022-06-21 21:00:00+09:00,1,0.0
2022-06-21 22:00:00+09:00,1,0.0
2022-06-21 23:00:00+09:00,1,0.0
2022-06-22 00:00:00+09:00,1,0.0
2022-06-22 01:00:00+09:00,1,0.0
2022-06-22 02:00:00+09:00,1,0.0
2022-06-22 03:00:00+09:00,1,0.0
2022-06-22 04:00:00+09:00,1,0.0
2022-06-22 05:00:00+09:00,1,0.0
2022-06-22 06:00:00+09:00,1,0.0
2022-06-22 07:00:00+09:00,1,6.86295
2022-06-22 08:00:00+09:00,1,15.3723
2022-06-22 09:00:00+09:00,1,31.6384
2022-06-22 10:00:00+09:00,1,37.3233
2022-06-22 11:00:00+09:00,1,41.6441
2022-06-22 12:00:00+09:00,1,53.4467
2022-06-22 13:00:00+09:00,1,59.6007
2022-06-22 14:00:00+09:00,1,57.1434
2022-06-22 15:00:00+09:00,1,46.0889
2022-06-22 16:00:00+09:00,1,43.9028
2022-06-22 17:00:00+09:00,1,32.0921
2022-06-22 18:00:00+09:00,1,19.1496
2022-06-22 19:00:00+09:00,1,7.74027
2022-06-22 20:00:00+09:00,1,0.0
2022-06-22 21:00:00+09:00,1,0.0
2022-06-22 22:00:00+09:00,1,0.0
2022-06-22 23:00:00+09:00,1,0.0
2022-06-23 00:00:00+09:00,1,0.0
2022-06-23 01:00:00+09:00,1,0.0
2022-06-23 02:00:00+09:00,1,0.0
2022-06-23 03:00:00+09:00,1,0.0
2022-06-23 04:00:00+09:00,1,0.0
2022-06-23 05:00:00+09:00,1,0.0
2022-06-23 06:00:00+09:00,1,0.0
2022-06-23 07:00:00+09:00,1,3.13822
2022-06-23 08:00:00+09:00,1,8.41168
2022-06-23 09:00:00+09:00,1,12.5103
2022-06-23 10:00:00+09:00,1,15.5105
2022-06-23 11:00:00+09:00,1,14.8891
2022-06-23 12:00:00+09:00,1,30.7799
2022-06-23 13:00:00+09:00,1,30.4783
2022-06-23 14:00:00+09:00,1,19.1217
2022-06-23 15:00:00+09:00,1,14.3922
2022-06-23 16:00:00+09:00,1,16.0288
2022-06-23 17:00:00+09:00,1,7.60988
2022-06-23 18:00:00+09:00,1,7.6004
2022-06-23 19:00:00+09:00,1,4.4673
2022-06-23 20:00:00+09:00,1,0.0
