round,time,cloud_0,temp_0,humidity_0,ground_press_0,wind_speed_0,wind_dir_0,rain_0,snow_0,dew_point_0,vis_0,uv_idx_0,azimuth_0,elevation_0,model_1,model_2,model_3,model_4,model_5,cloud_1,temp_1,humidity_1,ground_press_1,wind_speed_1,wind_dir_1,rain_1,snow_1,dew_point_1,vis_1,uv_idx_1,azimuth_1,elevation_1
1,2022-06-19 01:00:00+09:00,6,20.03,93,1009,3.01,162,0,0,18.3333,16.0934,0,6.70428,-31.5296,0,0,0,0,0,5.871524449,23.03,91.12847555,1009,2.394132311,152.1735379,0,0,20.19333333,19.19333333,0,6.704279861,-31.52964002
1,2022-06-19 02:00:00+09:00,7,19.88,95,1009,3.16,159,0,0,18.3333,16.0934,0,22.1964,-28.4404,0,0,0,0,0,5,20.04682927,92,1009,2.49,133,0,0,20.01016949,16.1,0,22.19636989,-28.44042776
1,2022-06-19 03:00:00+09:00,17,19.99,96,1008,2.92,161,0,0,18.3333,16.0934,0,35.9194,-22.4374,0,0,0,0,0,31.66851441,20.27557095,92,1008.012749,2.340764967,139.9745011,0,0,20.30491803,16.25737705,0,35.91939372,-22.43743663
1,2022-06-19 04:00:00+09:00,100,20.19,96,1008,2.79,157,0,0,17.7778,16.0934,0,47.5577,-14.2214,0,0,0,0,0,100,20.38038846,93,1008,2.77,142,0,0,20.40307692,19.00461538,0,47.55771371,-14.22144959
1,2022-06-19 05:00:00+09:00,100,20.34,95,1008,2.74,156,0,0,18.3333,16.0934,0,57.3782,-4.4447,0,0,0,0,0,100,22.03,93,1008,2.557647059,133.8823529,0,0,20.49538462,10.14307692,0,57.37818313,-4.444699453
1,2022-06-19 06:00:00+09:00,100,20.45,94,1008,2.55,144,0,0,18.8889,16.0934,0,65.8614,6.39544,0,0,0,0,0,100,22.03,93,1008,2.32,122,0,0,20.6,10.05555556,0.037037037,65.86141713,6.39544443
1,2022-06-19 07:00:00+09:00,100,20.65,94,1009,1.98,160,0,0,19.4444,16.0934,0,73.5196,17.9461,1.84569,7.99585,0.223429,2.53696,1.48986,100,20.85442044,92.01211802,1008.987882,2.527455216,152.6243414,0,0,20.6,19.3,1,73.51961148,17.94612459
1,2022-06-19 08:00:00+09:00,100,20.84,93,1008,2.44,168,0,0,19.4444,16.0934,1,80.8871,29.9536,12.1427,12.9595,7.62878,11.6249,12.9959,100,21.12354964,92,1009,3.3,177,0,0,20.7,16.1,1,80.88710369,29.95361131
1,2022-06-19 09:00:00+09:00,100,20.92,93,1008,3.21,184,0,0,18.8889,16.0934,1,88.6491,42.2134,16.7491,17.2484,18.1117,16.6563,22.8779,100,21.46666852,91,1009,3.63,188,0,0,20.705,16.18,1.016666667,88.64913041,42.2133993
1,2022-06-19 10:00:00+09:00,100,21.09,92,1008,2.87,187,0,0,18.3333,16.0934,3,98.0436,54.5033,24.4652,27.4803,32.2159,30.2017,23.6411,53,21.90269444,89,1009,2.78,204,0,0,21,20.81864407,2.016949153,98.04357147,54.50331937
1,2022-06-19 11:00:00+09:00,100,21.51,89,1008,2.37,187,0,0,18.3333,16.0934,5,112.342,66.4014,32.4885,39.2311,45.8314,45.4765,29.1206,43,22.12960556,87,1008,2.77,220,0,0,21.00333333,16.1,3.066666667,112.3419538,66.40143125
1,2022-06-19 12:00:00+09:00,88,22.34,84,1008,1.61,179,0,0,18.3333,16.0934,11,143.612,76.3123,50.9095,57.3688,54.7892,60.2924,36.7744,36,22.70480556,85,1008,2.87,231,0,0,21.09016393,16.25737705,5.163934426,143.6122811,76.31232299
1,2022-06-19 13:00:00+09:00,72,23.17,81,1007,2.53,192,0,0,17.7778,16.0934,11,207.104,77.44,57.6032,60.0244,51.6923,55.4945,47.5495,33,22.84398889,84,1007,3.28,248,0,0,20.80338983,20.81864407,9.915254237,207.1041862,77.43999607
1,2022-06-19 14:00:00+09:00,67,23.89,78,1006,4.47,185,0,0,18.8889,16.0934,8,244.082,68.3532,55.9935,57.9255,53.5617,53.7681,48.5661,39,22.68696835,86,1007,3.33,271,0,0,20.97333333,16.1,5.1,244.0821105,68.3531902
1,2022-06-19 15:00:00+09:00,56,24.34,76,1006,5.12,181,0,0,18.3333,16.0934,5,259.989,56.6154,54.2828,54.6998,53.0764,51.6307,48.7599,44,22.66721111,86,1007,3.71,266,0,0,20.18666667,16.26,7.9,259.989188,56.61538359
1,2022-06-19 16:00:00+09:00,1,24.37,76,1006,4.72,178,0,0,18.3333,16.0934,3,269.895,44.3523,47.4435,49.1757,48.8919,48.3035,26.3852,2,22.84593559,83,1007,3.6,278,0,0,19.84333333,20.74,4.933333333,269.8950415,44.35227446
1,2022-06-19 17:00:00+09:00,3,24.25,76,1006,4.47,180,0,0,18.3333,16.0934,2,277.825,32.07,37.1416,36.1801,31.3164,38.1552,12.9685,3,22.70745,84,1006,3.73,281,0,0,21.1,16.1,2.666666667,277.8248495,32.06998929
1,2022-06-19 18:00:00+09:00,3,23.94,78,1005,4.09,170,0,0,18.8889,16.0934,1,285.204,20.0055,21.1464,21.2561,15.5211,18.6565,9.0431,3,22.52931149,85,1006,3.2,302,0,0,20.6,16.1,1.714285714,285.2042224,20.00553928
1,2022-06-19 19:00:00+09:00,7,23.44,81,1005,3.45,170,0,0,18.8889,16.0934,0,292.772,8.36063,7.64956,6.84952,4.10492,8.17307,0,4,22.34003333,85,1006,2.3,314,0,0,20.8,20.9,0.666666667,292.772442,8.360627227
1,2022-06-19 20:00:00+09:00,6,22.54,86,1005,3.54,165,0,0,18.8889,16.0934,0,301.076,-2.62317,0,0,0,0,0,5,21.73581111,87,1006,1.4,316,0,0,20.5,16.1,0,301.0763121,-2.623170648
1,2022-06-19 21:00:00+09:00,5,21.71,90,1006,2.72,154,0,0,18.8889,16.0934,0,310.629,-12.6137,0,0,0,0,0,5,21.59596667,87,1006,1.69,338,0,0,20.60333333,16.26,0,310.6285531,-12.61365493
1,2022-06-19 22:00:00+09:00,0,21.38,93,1006,2.77,136,0,0,19.4444,16.0934,0,321.922,-21.141,0,0,0,0,0,22.48243688,21.55693194,88,1007,1.868424808,18.85345774,0,0,20.7,20.74,0,321.9221795,-21.14103126
1,2022-06-19 23:00:00+09:00,1,20.96,95,1006,3.05,131,0,0,18.8889,16.0934,0,335.283,-27.5771,0,0,0,0,0,33,21.31828142,89,1007,1.78,28,0,0,20.69333333,16.1,0,335.2830481,-27.57707322
1,2022-06-20 00:00:00+09:00,5,20.73,96,1006,2.94,125,0,0,18.8889,16.0934,0,350.525,-31.2142,0,0,0,0,0,30,21.18962243,89,1007,1.54,47,0,0,20.48545455,16.04181818,0,350.5245566,-31.21418332
